-444.5122758017387,-582.4908944349736,20.6,-106.0
-440.2857752935961,-589.9099853048101,30.799999999999997,-106.0
-435.81180519866757,-600.7187900720164,45.400000000000006,-95.0
-434.7361516128294,-601.3080127444118,46.599999999999994,-96.0
-432.9084106187802,-604.1589439529926,50.0,-98.0
-459.41678996477276,-595.8709230357781,82.4,-90.0
-542.3295820166823,-555.524537647143,85.8,-88.0
-640.1983827312943,-565.4376754071563,111.19999999999999,-92.0
-708.7630841149949,-565.590479071252,112.0,-92.0
-754.8782448009588,-564.4720532521605,111.80000000000001,-94.0
-800.4334157162812,-562.3911448502913,111.6,-95.0
-847.2998209896032,-569.5954245077446,111.80000000000001,-98.0
-897.9869671869092,-583.8289488144219,113.4,-102.0
-947.0506567878183,-597.6535913096741,113.19999999999999,-102.0
-994.2979807795491,-611.6497135236859,113.0,-105.0
-1158.4971554654185,-721.047709332779,128.4,-99.0
-1234.0184009436052,-779.6645451085642,128.6,-102.0
-1246.2049106708728,-811.8141288291663,129.8,-98.0
-1242.5125832781196,-846.7465509846807,130.4,-94.0
-1224.051271849079,-873.1806159233674,129.4,-95.0
-1210.9947224203497,-904.526920591481,129.4,-97.0
-1213.2640000705142,-937.4030352607369,129.8,-96.0
-1183.752916503232,-954.7336748559028,128.8,-94.0
-1149.293214962585,-965.77813298814,128.8,-97.0
-1150.2743319277652,-965.4729570355266,128.0,-97.0
-1130.0127667956986,-968.2059102058411,128.2,-96.0
-1084.5526019791141,-975.2914750305936,128.8,-96.0
-1041.0568505066913,-987.052693140693,128.6,-96.0
-1002.7323670580518,-1001.781419034116,129.0,-97.0
-1000.1748108766042,-1001.5359410298988,127.80000000000001,-95.0
-964.0775531532709,-1009.5627500740811,128.6,-94.0
-916.6662666825578,-1017.220439423807,127.80000000000001,-95.0
-868.3197295088321,-1022.397304548882,127.19999999999999,-95.0
-821.5995510371868,-1025.3269388368353,127.0,-96.0
-772.1286716030445,-1028.5908652702346,127.4,-96.0
-725.3609365038574,-1031.6614759843796,127.4,-96.0
-674.6832805715967,-1033.2605384029448,126.19999999999999,-98.0
-626.0993907582015,-1025.914391358383,111.80000000000001,-103.0
-529.2886571979616,-1033.9615517742932,115.6,-104.0
-484.24236801289953,-1037.1417753640562,116.0,-108.0
-434.4004135739524,-1041.5142226191238,116.0,-104.0
-384.5582698096987,-1045.886029924266,116.0,-103.0
-338.7665503162425,-1048.6590561224148,116.19999999999999,-101.0
-141.16402055928484,-1063.465040648356,116.0,-106.0
194.08681481610984,-211.96604961436242,114.19999999999999,-103.0
169.3233970098663,-190.41829109657556,114.80000000000001,-104.0
140.13554394687526,-163.50370393507183,114.6,-101.0
114.87311781104654,-129.8775513563305,104.6,-105.0
82.21961848484352,-87.25541761238128,85.0,-96.0
61.437683088937774,-53.87422790564597,65.4,-84.0
44.25226459256373,-31.30338992085308,62.0,-87.0
29.0272467515897,-27.846415947191417,63.0,-80.0
26.47075919737108,-20.161765206605196,63.0,-93.0
30.20739434263669,-7.595455124974251,63.400000000000006,-91.0
31.42483693547547,-8.610739950090647,65.2,-107.0
27.101512010442093,-16.76922577060759,68.8,-90.0
-17.461938553256914,-75.8476701490581,70.8,-78.0
-52.27388243936002,-100.77635568659753,71.0,-89.0
-94.81288271723315,-123.6326993117109,72.2,-95.0
-121.52064720820636,-151.7695394512266,73.0,-94.0
-157.41441787825897,-184.02669760677963,72.2,-96.0
-201.54119453812018,-199.46671692840755,71.2,-90.0
-228.98551496840082,-220.10173133108765,73.0,-96.0
-252.3239893896971,-261.0168026573956,80.6,-92.0
-254.23994245217182,-265.83587256260216,80.0,-102.0
-253.2588340069633,-266.14080862049013,80.8,-92.0
-253.72898555989377,-272.6620067153126,81.0,-100.0
-275.53613420482725,-355.2136102532968,84.0,-92.0
-335.62856987304986,-460.1999820191413,81.6,-94.0
-331.18821954820305,-494.7140136677772,81.0,-98.0
-324.07294309930876,-531.9811895759776,86.0,-98.0
-317.7658518801909,-569.4637435032055,87.0,-107.0
-309.1587995630689,-640.3163987277076,88.0,-109.0
-299.7164066475816,-708.3913664221764,87.8,-107.0
-311.18556485301815,-869.67279922124,86.8,-107.0
-397.64649562793784,-919.2106455313042,86.6,-108.0
-444.7112964480184,-931.1258777817711,85.8,-104.0
-591.7404666219372,-941.3821262484416,86.0,-107.0
-644.9881463712081,-942.6367757059634,85.8,-103.0
-690.4083118792623,-940.9729013368487,85.2,-104.0
-488.2433418564033,-691.7278976058587,82.6,-106.0
-292.42253273073584,303.84098546765745,215.2,-106.0
-136.01001108484343,18.727508483454585,218.60000000000002,-103.0
-70.79617023770697,-39.80668996647,218.0,-97.0
2.718258813722059,-83.62262425292283,217.0,-102.0
59.544900165405124,-138.0910746725276,214.6,-92.0
57.38599929539487,-134.2458687890321,209.8,-99.0
-5.735206568613648,-134.8988389475271,208.6,-98.0
-37.25886768824421,-143.26926599629223,165.6,-95.0
-31.722719728946686,-144.04478893242776,164.0,-92.0
-26.649865868734196,-161.93898855894804,189.8,-89.0
-217.8364172130823,-208.6601576944813,193.0,-96.0
-329.9212536907289,-276.33032495714724,214.8,-87.0
-542.6221241937019,-305.9674299871549,216.8,-104.0
-880.2112845005468,-333.00696395151317,216.0,-103.0
-1097.7476854508277,-393.0518780015409,215.2,-100.0
-1152.6074546503369,-341.7971123624593,217.60000000000002,-99.0
113.08399486076087,-5.510745405219495,7.200000000000003,-99.0
111.82690377463587,-7.020508740097284,7.600000000000001,-94.0
111.68903176486492,-6.606098243966699,8.0,-95.0
112.38627708191052,-8.701851963996887,8.0,-96.0
110.66829758998938,-8.82629691530019,9.399999999999999,-91.0
111.64940895745531,-9.131143343634903,10.200000000000003,-83.0
109.70179732423276,-21.786128914915025,26.400000000000006,-87.0
110.31632507080212,-23.633261885493994,29.0,-89.0
